CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Japan,Processing,1972.0,1000 tonnes,0.0,A
Romania,Processing,1972.0,1000 tonnes,0.0,A
Sweden,Processing,1972.0,1000 tonnes,0.0,A
Thailand,Processing,1972.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1972.0,1000 tonnes,0.0,A
Brazil,Processing,1971.0,1000 tonnes,0.0,A
Canada,Processing,1971.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1971.0,1000 tonnes,0.0,A
Denmark,Processing,1971.0,1000 tonnes,0.0,A
France,Processing,1971.0,1000 tonnes,0.0,A
Hungary,Processing,1971.0,1000 tonnes,0.0,A
Japan,Processing,1971.0,1000 tonnes,0.0,A
Romania,Processing,1971.0,1000 tonnes,0.0,A
Sweden,Processing,1971.0,1000 tonnes,0.0,A
Thailand,Processing,1971.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1971.0,1000 tonnes,0.0,A
Brazil,Processing,1970.0,1000 tonnes,0.0,A
Canada,Processing,1970.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1970.0,1000 tonnes,0.0,A
Denmark,Processing,1970.0,1000 tonnes,0.0,A
France,Processing,1970.0,1000 tonnes,0.0,A
Hungary,Processing,1970.0,1000 tonnes,0.0,A
Japan,Processing,1970.0,1000 tonnes,0.0,A
Romania,Processing,1970.0,1000 tonnes,0.0,A
Sweden,Processing,1970.0,1000 tonnes,0.0,A
Thailand,Processing,1970.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1970.0,1000 tonnes,0.0,A
Brazil,Processing,1969.0,1000 tonnes,0.0,A
Canada,Processing,1969.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1969.0,1000 tonnes,0.0,A
Denmark,Processing,1969.0,1000 tonnes,0.0,A
France,Processing,1969.0,1000 tonnes,0.0,A
Hungary,Processing,1969.0,1000 tonnes,0.0,A
Japan,Processing,1969.0,1000 tonnes,0.0,A
Romania,Processing,1969.0,1000 tonnes,0.0,A
Sweden,Processing,1969.0,1000 tonnes,0.0,A
Thailand,Processing,1969.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1969.0,1000 tonnes,0.0,A
Brazil,Processing,1968.0,1000 tonnes,0.0,A
Canada,Processing,1968.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1968.0,1000 tonnes,0.0,A
Denmark,Processing,1968.0,1000 tonnes,0.0,A
